stemmer,stem,distinct_original_words,originals_sample
lancaster,cont,59,"conc, conceal, concealed, concealing, concealment, concealments, conceals, concede, conceded, concededly, concedes, conceding"
lancaster,fin,51,"fin, fina, final, finale, finales, finalise, finalised, finalist, finalists, finality, finalization, finalize"
lancaster,com,45,"com, come, comed, comedian, comedians, comeliness, comely, comer, comers, comes, comi, comic"
lancaster,reg,45,"reg, regal, regale, regaled, regaling, regan, regencies, regency, regenerate, regenerates, regenerating, regeneration"
lancaster,nat,42,"nat, natal, nate, nation, national, nationale, nationalisation, nationalised, nationalism, nationalisms, nationalist, nationalistic"
lancaster,man,41,"man, mana, manage, manageable, managed, management, managements, manager, managerial, managers, manages, managing"
lancaster,adv,41,"advance, advanced, advancement, advancements, advances, advancing, advantage, advantaged, advantageous, advantageously, advantages, advent"
lancaster,rat,39,"rat, rata, ratable, rate, rateable, rated, rates, ratification, ratifie, ratified, ratifiers, ratifies"
lancaster,min,38,"min, mine, mineable, mined, miner, mineral, mineralization, mineralized, minerals, miners, mines, mini"
lancaster,int,38,"inc, incantation, incanted, incens, incentive, incentives, incise, incur, incurable, incurably, incurs, int"
lancaster,mat,37,"mat, mate, mated, mater, material, materialise, materialises, materialism, materialist, materialistic, materialists, materialize"
lancaster,op,37,"opal, ope, opeations, open, opened, opener, opening, openings, openly, openness, opens, oper"
lancaster,rel,37,"rel, relate, related, relatedness, relater, relates, relating, relation, relational, relations, relationship, relationships"
lancaster,am,37,"ama, amag, amal, amaral, amarant, amateur, amateurish, amateurishness, amateurs, amative, amativeness, amatory"
lancaster,spec,36,"spec, special, specialise, specialised, specialises, specialising, specialist, specialists, specialities, speciality, specialization, specialize"
lancaster,gen,35,"gen, gene, genencor, general, generale, generalised, generalist, generalists, generalities, generality, generalization, generalizations"
lancaster,al,33,"ala, alan, alane, ale, aleian, alene, ales, ali, alia, alian, alice, alif"
lancaster,not,31,"notabilities, notable, notables, notably, notarized, notation, note, noted, notes, notice, noticeable, noticeably"
lancaster,stat,31,"stat, stata, state, stated, stateliness, stately, statement, statements, staten, states, static, stating"
