stemmer,stem,distinct_original_words,originals_sample
porter,gener,22,"general, generalities, generality, generalization, generalizations, generalize, generalized, generalizing, generally, generals, generate, generated"
porter,commun,20,"commun, communal, commune, communed, communes, communicate, communicated, communicates, communicating, communication, communicational, communications"
porter,inform,17,"inform, informal, informality, informally, informant, informants, information, informational, informations, informative, informe, informed"
porter,equal,16,"equal, equaled, equaling, equalities, equality, equalization, equalize, equalized, equalizer, equalizers, equalizing, equall"
porter,oper,15,"oper, operable, operant, operate, operated, operates, operating, operation, operational, operationally, operations, operative"
porter,present,14,"present, presentable, presentation, presentational, presentations, presente, presented, presenter, presenting, presently, presentment, presentments"
porter,origin,14,"origin, original, originality, originally, originals, originate, originated, originates, originating, origination, originations, originator"
porter,observ,14,"observ, observable, observance, observances, observant, observation, observational, observations, observe, observed, observer, observers"
porter,determin,14,"determin, determinability, determinable, determinant, determinants, determinate, determination, determinations, determinative, determine, determined, determines"
porter,liber,14,"liber, liberal, liberalism, liberality, liberalization, liberalize, liberalized, liberalizing, liberally, liberals, liberate, liberated"
porter,organ,14,"organ, organe, organic, organically, organism, organisms, organization, organizations, organize, organized, organizers, organizes"
porter,convers,13,"conversable, conversant, conversation, conversational, conversationally, conversations, conversative, converse, conversed, conversely, conversing, conversion"
porter,respect,13,"respect, respectability, respectable, respectably, respected, respecter, respectful, respectfully, respectfulness, respecting, respective, respectively"
porter,wonder,13,"wonder, wondered, wonderer, wonderful, wonderfully, wonderfulness, wondering, wonderings, wonderment, wonderments, wonderous, wonderously"
porter,admir,13,"admir, admirable, admirably, admiral, admirals, admirant, admiration, admire, admired, admirer, admirers, admires"
porter,design,13,"design, designate, designated, designates, designating, designation, designations, designe, designed, designer, designers, designing"
porter,industri,13,"industri, industrial, industrialism, industrialization, industrialized, industrializing, industrially, industrie, industrier, industries, industrious, industriously"
porter,decor,13,"decor, decorate, decorated, decorating, decoration, decorations, decorative, decorativeness, decorator, decorators, decore, decorous"
porter,nation,13,"nation, national, nationalism, nationalisms, nationalities, nationality, nationalization, nationalize, nationalized, nationalizing, nationally, nationals"
porter,domin,13,"dominance, dominant, dominate, dominated, dominates, dominating, domination, dominations, domineer, domineered, domineering, domineerings"
