stemmer,stem,distinct_original_words,originals_sample
regexp,present,5,"present, presentable, presente, presenting, presents"
regexp,suit,5,"suit, suitable, suite, suiting, suits"
regexp,work,5,"work, workable, worke, working, works"
regexp,speak,5,"speak, speakable, speake, speaking, speaks"
regexp,pay,5,"pay, payable, paye, paying, pays"
regexp,rat,5,"rat, ratable, rate, rating, rats"
regexp,eat,5,"eat, eatable, eate, eating, eats"
regexp,read,5,"read, readable, reade, reading, reads"
regexp,answer,5,"answer, answerable, answere, answering, answers"
regexp,discern,5,"discern, discernable, discerne, discerning, discerns"
regexp,interpret,5,"interpret, interpretable, interprete, interpreting, interprets"
regexp,attain,5,"attain, attainable, attaine, attaining, attains"
regexp,par,5,"par, parable, pare, paring, pars"
regexp,obtain,5,"obtain, obtainable, obtaine, obtaining, obtains"
regexp,honor,5,"honor, honorable, honore, honoring, honors"
regexp,sustain,5,"sustain, sustainable, sustaine, sustaining, sustains"
regexp,con,5,"con, conable, cone, coning, cons"
regexp,favor,5,"favor, favorable, favore, favoring, favors"
regexp,assail,5,"assail, assailable, assaile, assailing, assails"
regexp,comfort,4,"comfort, comfortable, comforting, comforts"
regexp,unit,4,"unit, unite, uniting, units"
regexp,plac,4,"plac, placable, place, placing"
regexp,hold,4,"hold, holde, holding, holds"
regexp,liv,4,"liv, livable, live, living"
regexp,esteem,4,"esteem, esteeme, esteeming, esteems"
regexp,think,4,"think, thinke, thinking, thinks"
regexp,mean,4,"mean, meane, meaning, means"
regexp,rank,4,"rank, ranke, ranking, ranks"
regexp,los,4,"los, lose, losing, loss"
regexp,cheer,4,"cheer, cheere, cheering, cheers"
regexp,sleep,4,"sleep, sleepe, sleeping, sleeps"
regexp,age,4,"age, agee, ageing, ages"
regexp,consider,4,"consider, considerable, considering, considers"
regexp,black,4,"black, blacke, blacking, blacks"
regexp,foot,4,"foot, foote, footing, foots"
regexp,know,4,"know, knowe, knowing, knows"
regexp,concern,4,"concern, concerne, concerning, concerns"
regexp,find,4,"find, finde, finding, finds"
regexp,bear,4,"bear, beare, bearing, bears"
regexp,suffer,4,"suffer, sufferable, suffering, suffers"
regexp,meet,4,"meet, meete, meeting, meets"
regexp,habit,4,"habit, habitable, habite, habits"
regexp,mind,4,"mind, minde, minding, minds"
regexp,tim,4,"tim, time, timing, tims"
regexp,visit,4,"visit, visite, visiting, visits"
regexp,fill,4,"fill, fille, filling, fills"
regexp,sigh,4,"sigh, sighe, sighing, sighs"
regexp,support,4,"support, supportable, supporting, supports"
regexp,hat,4,"hat, hate, hating, hats"
regexp,feel,4,"feel, feele, feeling, feels"
regexp,deal,4,"deal, deale, dealing, deals"
regexp,keep,4,"keep, keepe, keeping, keeps"
regexp,com,4,"com, come, coming, coms"
regexp,walk,4,"walk, walke, walking, walks"
regexp,doubt,4,"doubt, doubte, doubting, doubts"
regexp,account,4,"account, accountable, accounting, accounts"
regexp,ask,4,"ask, aske, asking, asks"
regexp,observ,4,"observ, observable, observe, observing"
regexp,turn,4,"turn, turne, turning, turns"
regexp,lock,4,"lock, locke, locking, locks"
regexp,hear,4,"hear, heare, hearing, hears"
regexp,help,4,"help, helpe, helping, helps"
regexp,call,4,"call, callable, calling, calls"
regexp,back,4,"back, backe, backing, backs"
regexp,fir,4,"fir, fire, firing, firs"
regexp,look,4,"look, looke, looking, looks"
regexp,rain,4,"rain, raine, raining, rains"
regexp,hop,4,"hop, hope, hoping, hops"
regexp,question,4,"question, questionable, questioning, questions"
regexp,head,4,"head, heade, heading, heads"
regexp,tear,4,"tear, teare, tearing, tears"
regexp,accept,4,"accept, acceptable, accepting, accepts"
regexp,allow,4,"allow, allowable, allowing, allows"
regexp,need,4,"need, neede, needing, needs"
regexp,understand,4,"understand, understandable, understanding, understands"
regexp,talk,4,"talk, talke, talking, talks"
regexp,depend,4,"depend, dependable, depending, depends"
regexp,claim,4,"claim, claime, claiming, claims"
regexp,harm,4,"harm, harme, harming, harms"
regexp,break,4,"break, breake, breaking, breaks"
regexp,hand,4,"hand, hande, handing, hands"
regexp,shew,4,"shew, shewe, shewing, shews"
regexp,laugh,4,"laugh, laughable, laughing, laughs"
regexp,car,4,"car, care, caring, cars"
regexp,respect,4,"respect, respectable, respecting, respects"
regexp,succeed,4,"succeed, succeede, succeeding, succeeds"
regexp,lov,4,"lov, lovable, love, loving"
regexp,return,4,"return, returne, returning, returns"
regexp,refrain,4,"refrain, refraine, refraining, refrains"
regexp,bargain,4,"bargain, bargaine, bargaining, bargains"
regexp,seek,4,"seek, seeke, seeking, seeks"
regexp,desir,4,"desir, desirable, desire, desiring"
regexp,favour,4,"favour, favourable, favouring, favours"
regexp,saw,4,"saw, sawe, sawing, saws"
regexp,fin,4,"fin, fine, fining, fins"
regexp,season,4,"season, seasonable, seasoning, seasons"
regexp,recover,4,"recover, recoverable, recovering, recovers"
regexp,pair,4,"pair, paire, pairing, pairs"
regexp,measur,4,"measur, measurable, measure, measuring"
regexp,term,4,"term, terme, terming, terms"
