stemmer,stem,distinct_original_words,originals_sample
snowball,inform,17,"inform, informal, informality, informally, informant, informants, information, informational, informations, informative, informe, informed"
snowball,equal,16,"equal, equaled, equaling, equalities, equality, equalization, equalize, equalized, equalizer, equalizers, equalizing, equall"
snowball,determin,15,"determin, determinability, determinable, determinant, determinants, determinate, determination, determinations, determinative, determine, determined, determinedly"
snowball,oper,15,"oper, operable, operant, operate, operated, operates, operating, operation, operational, operationally, operations, operative"
snowball,direct,14,"direct, directed, directing, direction, directional, directionality, directionally, directions, directive, directives, directivity, directly"
snowball,present,14,"present, presentable, presentation, presentational, presentations, presente, presented, presenter, presenting, presently, presentment, presentments"
snowball,origin,14,"origin, original, originality, originally, originals, originate, originated, originates, originating, origination, originations, originator"
snowball,observ,14,"observ, observable, observance, observances, observant, observation, observational, observations, observe, observed, observer, observers"
snowball,wonder,14,"wonder, wondered, wonderer, wonderful, wonderfully, wonderfulness, wondering, wonderingly, wonderings, wonderment, wonderments, wonderous"
snowball,liber,14,"liber, liberal, liberalism, liberality, liberalization, liberalize, liberalized, liberalizing, liberally, liberals, liberate, liberated"
snowball,admir,14,"admir, admirable, admirably, admiral, admirals, admirant, admiration, admire, admired, admirer, admirers, admires"
snowball,design,14,"design, designate, designated, designates, designating, designation, designations, designe, designed, designedly, designer, designers"
snowball,organ,14,"organ, organe, organic, organically, organism, organisms, organization, organizations, organize, organized, organizers, organizes"
snowball,domin,14,"dominance, dominant, dominantly, dominate, dominated, dominates, dominating, domination, dominations, domineer, domineered, domineering"
snowball,convers,13,"conversable, conversant, conversation, conversational, conversationally, conversations, conversative, converse, conversed, conversely, conversing, conversion"
snowball,respect,13,"respect, respectability, respectable, respectably, respected, respecter, respectful, respectfully, respectfulness, respecting, respective, respectively"
snowball,general,13,"general, generale, generalities, generality, generalization, generalizations, generalize, generalized, generalizing, generall, generalled, generally"
snowball,industri,13,"industri, industrial, industrialism, industrialization, industrialized, industrializing, industrially, industrie, industrier, industries, industrious, industriously"
snowball,relat,13,"relate, related, relater, relates, relating, relation, relational, relations, relative, relatively, relatives, relativity"
snowball,decor,13,"decor, decorate, decorated, decorating, decoration, decorations, decorative, decorativeness, decorator, decorators, decore, decorous"
snowball,nation,13,"nation, national, nationalism, nationalisms, nationalities, nationality, nationalization, nationalize, nationalized, nationalizing, nationally, nationals"
snowball,continu,12,"continual, continually, continuance, continuation, continue, continued, continues, continuing, continuities, continuity, continuous, continuously"
snowball,ration,12,"ration, rational, rationalism, rationality, rationalization, rationalizations, rationalize, rationalized, rationally, rationed, rationing, rations"
snowball,activ,12,"activate, activated, activates, activating, activation, activator, active, actively, actives, activism, activities, activity"
snowball,employ,12,"employ, employables, employe, employed, employement, employer, employers, employes, employing, employment, employments, employs"
snowball,receiv,12,"receiv, receivable, receivables, receival, receivals, receive, receiveable, received, receiver, receivers, receives, receiving"
snowball,command,12,"command, commandant, commanded, commandeered, commandeering, commander, commanders, commanding, commandingly, commandment, commandments, commands"
snowball,prefer,12,"prefer, preferable, preferably, preferance, prefered, preference, preferences, preferment, preferred, preferreds, preferring, prefers"
snowball,collect,12,"collect, collected, collectedly, collectibility, collectible, collecting, collection, collections, collective, collectively, collectives, collects"
snowball,expect,12,"expect, expectable, expectancy, expectant, expectantly, expectation, expectational, expectations, expected, expectedly, expecting, expects"
snowball,local,12,"local, locale, locales, localisms, localities, locality, localization, localize, localized, locally, localness, locals"
snowball,interpret,12,"interpret, interpretable, interpretation, interpretations, interpretative, interprete, interpreted, interpreter, interpreters, interpreting, interpretive, interprets"
snowball,initi,12,"initial, initialed, initially, initials, initiate, initiated, initiates, initiating, initiation, initiative, initiatives, initiator"
snowball,affect,11,"affect, affectation, affectations, affected, affectedly, affecting, affectingly, affection, affectioned, affections, affects"
snowball,oblig,11,"obligate, obligated, obligates, obligation, obligational, obligations, oblige, obliged, obliges, obliging, obligingly"
snowball,depend,11,"depend, dependable, dependant, depended, dependence, dependencies, dependency, dependent, dependents, depending, depends"
snowball,desir,11,"desir, desirability, desirable, desirableness, desire, desireable, desired, desirer, desires, desiring, desirous"
snowball,object,11,"object, objected, objecting, objection, objections, objective, objectively, objectiveness, objectives, objectivity, objects"
snowball,express,11,"express, expresse, expressed, expresses, expressible, expressing, expression, expressions, expressive, expressively, expressiveness"
snowball,communic,11,"communicable, communicate, communicated, communicates, communicating, communication, communicational, communications, communicative, communicator, communicators"
snowball,sever,11,"sever, several, severally, severance, severe, severed, severely, severing, severity, severly, severs"
snowball,prepar,11,"prepar, preparation, preparations, preparative, preparatives, prepare, prepared, preparer, preparers, prepares, preparing"
snowball,hesit,11,"hesitance, hesitancy, hesitant, hesitantly, hesitate, hesitated, hesitates, hesitating, hesitatingly, hesitation, hesitations"
snowball,critic,11,"critic, critical, criticality, critically, criticism, criticisms, criticize, criticized, criticizes, criticizing, critics"
snowball,irrit,11,"irritability, irritable, irritably, irritant, irritants, irritate, irritated, irritates, irritating, irritation, irritations"
