word,porter,snowball,lancaster,regexp
said,said,said,said,said
mln,mln,mln,mln,mln
one,one,one,on,one
dlrs,dlr,dlrs,dlrs,dlr
shall,shall,shall,shal,shall
would,would,would,would,would
pct,pct,pct,pct,pct
unto,unto,unto,unto,unto
year,year,year,year,year
lord,lord,lord,lord,lord
cts,ct,cts,cts,cts
net,net,net,net,net
man,man,man,man,man
thou,thou,thou,thou,thou
could,could,could,could,could
two,two,two,two,two
may,may,may,may,may
billion,billion,billion,bil,billion
also,also,also,also,also
god,god,god,god,god
thy,thi,thi,thy,thy
loss,loss,loss,loss,los
company,compani,compani,company,company
last,last,last,last,last
first,first,first,first,first
time,time,time,tim,tim
upon,upon,upon,upon,upon
new,new,new,new,new
like,like,like,lik,lik
made,made,made,mad,mad
thee,thee,thee,the,the
day,day,day,day,day
come,come,come,com,com
shr,shr,shr,shr,shr
little,littl,littl,littl,littl
inc,inc,inc,int,inc
came,came,came,cam,cam
good,good,good,good,good
well,well,well,wel,well
see,see,see,see,see
house,hous,hous,hous,hous
even,even,even,ev,even
people,peopl,peopl,peopl,peopl
know,know,know,know,know
bank,bank,bank,bank,bank
much,much,much,much,much
say,say,say,say,say
must,must,must,must,must
oil,oil,oil,oil,oil
great,great,great,gre,great
make,make,make,mak,mak
three,three,three,three,thre
men,men,men,men,men
every,everi,everi,every,every
corp,corp,corp,corp,corp
share,share,share,shar,shar
world,world,world,world,world
trade,trade,trade,trad,trad
king,king,king,king,k
long,long,long,long,long
let,let,let,let,let
take,take,take,tak,tak
way,way,way,way,way
profit,profit,profit,profit,profit
market,market,market,market,market
might,might,might,might,might
many,mani,mani,many,many
hand,hand,hand,hand,hand
old,old,old,old,old
son,son,son,son,son
went,went,went,went,went
yet,yet,yet,yet,yet
years,year,year,year,year
stock,stock,stock,stock,stock
still,still,still,stil,still
shares,share,share,shar,share
qtr,qtr,qtr,qtr,qtr
israel,israel,israel,israel,israel
children,children,children,childr,children
told,told,told,told,told
never,never,never,nev,never
away,away,away,away,away
end,end,end,end,end
father,father,father,fath,father
group,group,group,group,group
hath,hath,hath,hath,hath
give,give,give,giv,giv
tonnes,tonn,tonn,ton,tonne
per,per,per,per,per
land,land,land,land,land
without,without,without,without,without
another,anoth,anoth,anoth,another
back,back,back,back,back
think,think,think,think,think
things,thing,thing,thing,thing
mrs,mr,mrs,mrs,mrs
life,life,life,lif,lif
place,place,place,plac,plac
sales,sale,sale,sal,sale
put,put,put,put,put
thing,thing,thing,thing,th
